"Imported Companies","Enrich LI Company","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL","Company Headcount Growth","Find most recent news","Find Technology Stack","Find Tech Stack","Tech Stack","Find Open Jobs","Find Open Jobs (1)","Find Active Job Openings via LinkedIn","Job Openings"
,,"Protech Engineering & Control Private Limited","Protech Engineering & Control Private Limited provides you the best range of dc earth leakage relays, earth fault relays, earth monitoring relays, frequency relays, idmt protection relay & idmt relays with effective & timely delivery.","Mechanical or Industrial Engineering","51-200 employees",,"Mumbai, Maharashtra","India","indiamart.com","https://www.linkedin.com/company/protech-engineering-&-control-private-limited",,,,,,,,,
,,"Insurance Information Bureau of India","Insurance Information Bureau of India (IIB) has been established by the Insurance Regulator, IRDAI as a data repository and analytics body to cater to the interests of the insurance industry and related stakeholders. All the registered Insurance Companies in India are mandated to submit data under Life, Motor, Health, Fire and Other Miscellaneous lines of Insurance business to IIB. IIB thus handles huge data and provides analytical insights and services to the stake holders
through web services and applications. It is totally Technology driven. It is based out of Hyderabad, Plot No. 38/39, 1st Floor, APSFC Building, Financial District, Nanakramguda, Gachibowli, Hyderabad, Telangana, India.","Data Infrastructure and Analytics","51-200 employees","Non Profit","Hyderabad, Telangana","India","iib.gov.in","https://www.linkedin.com/company/insurance-information-bureau-of-india",,,,,,,,,
,,"CAMGalaxy (SOLIDWorks & CAMWorks Reseller Mumbai )","CAMGalaxy is into providing CAD CAM CNC solutions to Engineering industries involved in Design and Manufacturing.","Mechanical or Industrial Engineering","11-50 employees","Partnership","Navi Mumbai, Maharashtra","India","camgalaxysolutions.com","https://www.linkedin.com/company/camgalaxy",,,,,,,,,
,,"Pack Plast Industries Pvt. Ltd.","Providing Air Engineering Solutions for Clients across India and SE Asia for over 40 years. Industries served include Power, Manufacturing, Pharma, Textile and Defense. 

We offer Solutions, Products and Services related to Air Engineering like HVAC, Air Decontamination, Air Humidification etc.","Mechanical or Industrial Engineering","201-500 employees","Privately Held","Kota, Rajasthan","India","packplast.com","https://www.linkedin.com/company/pack-plast-industries",,,,,,,,,
,,"VSD Enterprises","VSD Enterprises is a spin-off of the Rucha Chemtech group, established by industry professionals having wide experience in delivering value to Design and Prototype & Manufacturing industries, to bring in their expertise to cater the Indian market with advance technologies in varied domains and revolutionize them by imparting the same to build a skilled workforce for future.

VSD Enterprises, after intensive research in the various offerings in the industry, tie's up with the world's most evolving 3D printing company Desktop Metal, who develops, manufactures, and sells innovative 3D printing solutions. One-of-a-kind combination of high-quality 3D printers and advanced engineering grade composites with Metal binder jetting and bound metal deposition technology.","Mechanical or Industrial Engineering","2-10 employees","Self Owned","Hyderabad, Telangana","India","vsd3d.com","https://www.linkedin.com/company/vsd-3d",,,,,,,,,
,,"Alberton Technologies","We feel immense pleasure in introducing ourselves as a design, manufacturing, erection & commissioning organisation for static equipment like pressure vessels, heat exchangers, storage tanks, piping & skid mounted packages in a variety of MOC like MS, SS304, SS316, SS321.

We have over a decade of work experience in this field with our co-founders and colleagues.

We have dealt with & capable of doing projects in chemical, petrochemical, oil & gas, pharma, paper and pulp, water & waste water treatment industries.

We design & fabricate the static equipment as per Indian & International codes like IS, ASME, API.

We kindly request you to consider our experience & capabilities and give us an opportunity to serve you.

Regards,
For Alberton Technologies,","Mechanical or Industrial Engineering","2-10 employees","Partnership","Pune, Maharashtra","India",,"https://www.linkedin.com/company/alberton-technologies",,,,,,,,,
,,"ARI-VED TECHNOLOGY PVT LTD","We, ARI-VED TECHNOLOGY PVT LTD (AVTPL) provides comprehensive end to end solutions of utility needs of their valued customers in the field of AIR I WATER I STEAM I FIRE. From Designing, Consultancy, Supply, Execution to Implementation, company has got expertise to execute projects on turn key basis.

Within a short span of 5 years, We have created more than 100 plus delighted customers under our foray & executed multiple projects across the length & breadth of the industry verticals with big names under our banner.    

With around 2 decades of experience, the founder of the organization is dedicated to provide energy efficient - cost effective solutions which would benefit customers on over all energy consumption which in-turn ultimately will have significant impact on reducing outgoing energy bill & carbon footprint. 

AVTPL in collaboration with various global technology solution provider today has created its own niche in the market. With experienced technical people on board & relevant infrastructure in place, today we can truly be a dependable partner in your growth story where we can definitely add value in lowering your energy cost.

Our core expertise lies in -

Complete Compressed Air & Water Management for any applications.
Intelligent Steam Line / Hot Water Solutions for variety of applications.
Comprehensive Fire Line Management for institution as well as for industries.
Solution for Gas or any other industrial chemical distribution.
Energy Audit.

Sectors where we have been associated so far are :

Food & Beverages
Textiles
Jute
Solar
General Engineering
Tyre & Rubber
Automotive
Rice
Tea
Cashew
Paper & Pulp
Amusement Park
Plastic
Primary Metals
Pharmaceuticals
Electrical Manufacturing & so & hence forth.

Because of collective passion as a team to contribute to efficient energy management, every employee of AVTPL is dedicated to help customers in optimum energy utilization for a better tomorrow....!","Mechanical or Industrial Engineering","11-50 employees","Privately Held","Kolkata, WEST BENGAL","India",,"https://www.linkedin.com/company/ari-ved-technology-pvt-ltd",,,,,,,,,
,,"DATAXDATA","Empower your business with data insights . Unlock growth potential through our data services . Transforming information into strategy . Let's drive success together!  

With a focus on transforming raw information into actionable strategies, we are your partner in turning data into tangible results. Our team of experts is committed to guiding you through the intricate process of leveraging data for optimum outcomes. 

Join us in this exciting journey of harnessing the power of data to elevate your business. Whether it's deciphering market trends, analyzing customer behaviors, or converting data into effective strategies, we are here to collaborate and drive your success. 

Let's embark on this transformative voyage together! ","Data Infrastructure and Analytics","2-10 employees","Partnership","Ahmedabad , Gujarat","India","dataxdata.ai","https://www.linkedin.com/company/dataxdata",,,,,,,,,
,,"pivotronics","Democratising data and analytics using Spreadsheets (Microsoft Excel, Apple Numbers, Google Sheets, Zoho Sheet), SQL (Oracle, SQL Server, Teradata, SQLite, etc.,) and self-service analytics systems (Microsoft Power BI, Google Looker Studio, Oracle Analytics, Tableau)","Data Infrastructure and Analytics","Self-employed","Self Owned","Hyderabad","India","pivotronics.com","https://www.linkedin.com/company/pivotronics",,,,,,,,,
,,"Hi-Tech Engineers - Custom Metal Bending & Fabrication","We Hi-Tech Engineers are mainly associated with the manufacturing of Custom Metal bending parts like Rod Bending, Pipe & Tube Bending and flats, Bus Body Accessories(U Clamp, Square Clamp, Sheet metal parts), Deep draw components, Foundation Bolts, and sheet metal Fabrication.","Mechanical or Industrial Engineering","2-10 employees","Self Owned","Coimbatore, Tamil Nadu","India","hitech-engineers.in","https://www.linkedin.com/company/hi-tech-engineers-custom-metal-bending-fabrication",,,,,,,,,
,,"sd infra builders & developers","SD Infra Builders & Developer is recognized as one of India's leading Real estate company.

The company now has a strong presence in and around Navi Mumbai.


SD Infra Builders & Developers has delivered 3cr.64lacs sq.ft space in the country and upgraded the lifestyle of over 45,000 families.


Quality, innovative, construction technology, comfort & maximum value for your money are few attributes that enrich SD INFRA BUILDERS & DEVELOPERS with the belief that people have entrusted in them.

HIGHLIGHTS OF SD INFRA BUILDERS & DEVELOPERS~

ESTABLISHED YEAR - 1 JAN 2005


INDUSTRY TYPE- INFRASTRUCTURE

NO.OF EMPLOYEES- more than 60+ employees


RESIDENTIAL PROJECT COVERED~ 32

ONGOING PROJECTS~ 20


UPCOMING PROJECTS ~ 18


FOR MORE INFORMATION
Contact us~ 9920222266
                         9920222277


HEAD OFFICE~
GIO MATRIX APARTMENT
OFFICE NO.34 PLOT NO 29
SECTOR 25 KAMOTHE NEAR KHANDESHWAR RAILWAY STATION
NAVI MUMBAI 410209","Data Infrastructure and Analytics","51-200 employees","Partnership","KHANDESHWAR, MAHARASHATRA","India",,"https://www.linkedin.com/company/sd-infra-builders-developers",,,,,,,,,
,,"Nafees Electrical engineer or maintenance",,"Mechanical or Industrial Engineering",,,"Chandigarh, Chandigarh","India","business.site","https://www.linkedin.com/company/nafees-electrical-engineer-or-maintenance",,,,,,,,,
,,"Sandco Metal Industries - Large Diameter Pipes, Gaskets and Forged Fittings","Sandco Metal Industries is one of India's leading Welded Pipe, ERW Pipe, Buttweld Fittings, Flanges, Sheet, Plate, Coil, Bar & Flat Manufacturers & Suppliers in India.","Mechanical or Industrial Engineering","51-200 employees","Privately Held","Mumbai, Maharashtra","India","sandco-stainlesssteelpipes.in","https://www.linkedin.com/company/sandcometal",,,,,,,,,
,,"AB Services47","All types of Excel data entry work. We can do any type of excel data entry, excel spreadsheet, PDF to excel, web to excel etc services with 100% accuracy.

We also provide Word related services. We also provide Data entry in Google sheets and typing in Google docs.

We do provide virtual assistant service for specific hours as per your demand regarding excel services and form filling services.","Data Infrastructure and Analytics","2-10 employees","Self Owned","Rander, Gujarat","India","business.site","https://www.linkedin.com/company/ab-services47",,,,,,,,,
